'5.6_millimetres' | structural violation
number -> numeric_value -> quantity -> amount | edge semantic failure
higher_than_19844 | structural violation
leet | structural violation
leetspeak | structural violation
automobile | structural violation
locomotive -> wheeled_vehicle -> vehicle | semantic abstraction jump
weapon -> tool -> item | edge semantic failure
about_big_brother | structural violation
by_george_orwell | structural violation
comic | structural violation
snooker_world_ranking | structural violation
very_good_book | structural violation
abstaction | structural violation
higher_number_than_0 | structural violation
higher_number_than_1 | structural violation
information_appliance | structural violation
slang_for_elite | structural violation
characters | structural violation
higher_number_than_2 | structural violation
nuber | structural violation
fourty | structural violation
higher_number_than_3 | structural violation
chromium_steel | structural violation
iron_alloy | structural violation
spring_steel | structural violation
stainless_steel -> solid_steel -> steel | semantic abstraction jump
stainless_steel -> solid_steel -> steel -> alloy | semantic abstraction jump
stainless_steel -> solid_steel -> steel -> man_made_metal | semantic abstraction jump
stainless_steel -> solid_steel -> steel -> metal | semantic abstraction jump
stainless_steel -> solid_steel -> steel -> strong_metal | semantic abstraction jump
stainless_steel -> solid_steel -> steel -> strong_metal | semantic abstraction jump
stainless_steel -> solid_steel -> steel -> man_made_metal | semantic abstraction jump
stainless_steel -> solid_steel -> steel -> alloy -> metal | semantic abstraction jump
higher_number_than_4 | structural violation
higher_number_than_5 | structural violation
higher_number_than_6 | structural violation
cpu | structural violation
8 -> number -> size | edge semantic failure
golden_mean_number | structural violation
higher_number_than_7 | structural violation
national_highway | structural violation
9 -> number -> digit | semantic abstraction jump
higher_number_than_8 | structural violation
aa_battery -> small_appliance_battery -> battery | semantic abstraction jump
anti_aircraft_weapon -> direct_fire_weapon -> weapon | semantic abstraction jump
gas_operated_automatic_firearm -> automatic_weapon -> gun -> firearm_shoots_bullets | semantic abstraction jump
gas_operated_automatic_firearm -> automatic_weapon -> gun -> firearm_shoots_bullets | semantic abstraction jump
general_purpose_machine_gun -> portable_machine_gun -> portable_gun -> gun -> mechanical_device | edge semantic failure
aaa_battery -> small_appliance_battery -> battery | semantic abstraction jump
aaai_conference -> computer_science_conference -> scientific_conference | semantic abstraction jump
aaai_conference -> computer_science_conference -> scientific_conference -> conference | semantic abstraction jump
administrative_region | structural violation
town -> municipality -> populated_area | edge semantic failure
town -> municipality -> state | edge semantic failure
town -> municipality -> state -> administrative_district | edge semantic failure
town -> municipality -> state -> administrative_district -> district | edge semantic failure
town -> municipality -> state -> administrative_district -> district -> region | edge semantic failure
town -> municipality -> state -> administrative_district -> district -> region -> location | edge semantic failure
town -> municipality -> administrative_district -> district | semantic abstraction jump
town -> municipality -> administrative_district -> district -> region | semantic abstraction jump
town -> municipality -> administrative_district -> district -> state | semantic abstraction jump
town -> municipality -> administrative_district -> district -> region -> location | semantic abstraction jump
town -> municipality -> administrative_district -> district -> region -> state | semantic abstraction jump
town -> city -> municipality -> populated_area | edge semantic failure
town -> city -> municipality -> state | edge semantic failure
town -> city -> municipality -> state -> administrative_district | edge semantic failure
town -> city -> municipality -> state -> administrative_district -> district | edge semantic failure
town -> city -> municipality -> state -> administrative_district -> district -> region | edge semantic failure
town -> city -> municipality -> administrative_district -> district | semantic abstraction jump
town -> city -> municipality -> administrative_district -> district -> region | semantic abstraction jump
town -> city -> municipality -> administrative_district -> district -> state | semantic abstraction jump
town -> city -> municipality -> administrative_district -> district -> region -> location | semantic abstraction jump
town -> city -> municipality -> administrative_district -> district -> region -> state | semantic abstraction jump
town -> city -> administrative_district -> district | semantic abstraction jump
town -> city -> administrative_district -> district -> region | semantic abstraction jump
town -> city -> administrative_district -> district -> state | semantic abstraction jump
town -> city -> administrative_district -> district -> region -> location | semantic abstraction jump
town -> city -> administrative_district -> district -> region -> state | semantic abstraction jump
tsb | structural violation
university -> school -> academic_organization | edge semantic failure
university -> school -> educational_institution | semantic abstraction jump
university -> school -> institution | semantic abstraction jump
university -> school -> educational_organization -> institution | semantic abstraction jump
university -> school -> educational_institution -> institution | semantic abstraction jump
university -> school -> academic_organization -> educational_organization | edge semantic failure
university -> school -> academic_organization -> educational_organization -> institution | edge semantic failure
